date,open,high,low,close,daily_trading_volume,RSI_14,BollW,precent_B,BIAS,ROC_1,golden_cross,death_cross,sixth_day_return
2020-12-30,224.0,232.2,222.7868,231.5933,128538064,48.7591,292.9447,0.4229,-20.6799,87.0122,0.0,0.0,-0.07270300674984646
2020-12-31,233.33,239.5733,230.3733,235.2233,148949792,49.7997,292.3381,0.4643,-7.811,15.8799,0.0,0.0,0.0848505177762893
2021-01-04,239.82,248.1633,239.0632,243.2567,145914560,49.6382,290.203,0.4561,-9.67,-2.0378,0.0,0.0,-0.0450296613027805
2021-01-05,241.22,246.9467,239.7333,245.0367,96735496,46.9809,288.835,0.3535,-39.8774,-33.704,0.0,0.0,-0.005816646085210281
2021-01-06,252.83,258.0,249.7,251.9933,134099896,49.2058,292.3957,0.4344,-15.5014,38.6253,0.0,0.0,0.011135856670312775
2021-01-07,259.21,272.33,258.4,272.0133,154496848,50.4287,295.475,0.4804,-3.4604,15.2103,0.0,0.0,0.022804296649039234
2021-01-08,285.3333,294.83,279.4633,293.34,225166592,54.5147,295.0863,0.6248,37.8783,45.7419,0.0,0.0,-0.021774907136947807
2021-01-11,283.1333,284.81,267.8741,270.3967,178662432,51.5061,296.5338,0.5314,8.052,-20.6532,0.0,0.0,-0.006937269320626546
2021-01-12,277.0,289.3333,275.78,283.1467,138812160,49.0099,296.6045,0.4493,-17.0641,-22.3048,0.0,0.0,0.006461615695051479
2021-01-13,284.2533,286.8233,277.3333,284.8033,99937488,46.6356,303.7482,0.3757,-39.2895,-28.0052,0.0,0.0,-0.0019488805098838763
2021-01-14,281.13,287.6667,279.5833,281.6667,93798984,46.2545,309.6957,0.3682,-41.6141,-6.1423,0.0,0.0,-0.03878303814713903
2021-01-15,284.0,286.6333,273.0333,275.3867,116332784,47.9363,311.0504,0.4152,-25.7853,24.0235,0.0,0.0,-0.002593054229246507
2021-01-19,279.2667,283.3333,277.6667,281.5167,76100944,45.2159,323.705,0.3444,-49.8497,-34.5834,0.0,0.0,0.021905668152387085
2021-01-20,286.2467,286.5,279.0933,283.4833,76997648,45.2904,131.8676,0.2129,-48.4098,1.1783,0.0,0.0,0.03438923256416061
2021-01-21,285.0,285.24,280.4734,281.6633,61794400,44.1927,139.5751,0.1578,-57.5225,-19.7451,0.0,0.0,0.05280216248913086
2021-01-22,278.1033,282.6667,276.2067,282.2133,60199492,44.072,148.6629,0.1841,-57.7419,-2.581,0.0,0.0,-0.05510781544542028
2021-01-25,285.0,300.1333,279.6067,293.6,123520192,49.919,146.8503,0.5523,-13.2254,105.1848,0.0,0.0,-0.03778675282714066
2021-01-26,297.1267,298.6333,290.5333,294.3633,69394808,45.5367,146.6481,0.2305,-49.8482,-43.8191,0.0,0.0,0.021177149472071794
2021-01-27,290.1167,297.1667,286.22,288.0533,82001864,46.7102,149.1381,0.3118,-28.6905,18.1671,0.0,0.0,0.005529594465817336
2021-01-28,273.3333,282.6667,267.0,278.4767,79134144,46.4649,146.7271,0.2894,-28.8325,-3.4971,0.0,0.0,-0.0026285154678297533
2021-01-29,276.6668,280.8033,260.0333,264.51,104972264,49.0601,147.9735,0.45,-3.8449,32.651,0.0,0.0,-0.012960087447581873
2021-02-01,271.43,280.6667,265.1867,279.9367,76174152,46.3625,152.5549,0.2996,-29.6222,-27.434,0.0,0.0,0.016434207194477253
2021-02-02,281.56,293.5,280.7335,290.93,73038640,46.0655,157.2739,0.302,-32.6297,-4.1162,0.0,0.0,0.055465825335581274
2021-02-03,292.34,292.6933,284.3549,284.8967,55030528,44.3098,165.9386,0.2163,-48.445,-24.6556,0.0,0.0,-0.008427174978091093
2021-02-04,285.0,285.5,277.8067,283.33,47437984,43.5561,177.5528,0.2049,-55.2006,-13.797,0.0,0.0,-0.005465005146302167
2021-02-05,281.6667,288.2567,279.6567,284.0767,55699912,44.6593,183.0407,0.275,-45.9099,17.4163,0.0,0.0,0.02499296362902677
2021-02-08,289.89,292.59,284.9167,287.8067,60485156,45.3258,147.5942,0.2964,-39.1727,8.5911,0.0,0.0,-0.0024179665476414605
